UserTags,TimeStamps,Tweets,Replys,reTweets,Likes
"Elon Musk
@elonmusk
·
Dec 2",2022-12-02T19:17:52.000Z,"There are about 500M tweets per day & billions of impressions, so hate speech impressions are <0.1% of what’s seen on Twitter!","3,860","7,714",87.2K
"Elon Musk
@elonmusk
·
Dec 2",2022-12-02T18:53:08.000Z,"Hate speech impressions (# of times tweet was viewed) continue to decline, despite significant user growth!
@TwitterSafety
 will publish data weekly.

Freedom of speech doesn’t mean freedom of reach. Negativity should & will get less reach than positivity.",11.1K,15.9K,127.2K
"Elon Musk
@elonmusk
·
Dec 2",2022-12-02T16:41:04.000Z,"You know Twitter is being fair when extremists on far right and far left are simultaneously upset!

Twitter aims to serve center 80% of people, who wish to learn, laugh & engage in reasoned debate. ",33.2K,48K,511.6K
"Neuralink
@neuralink
·
Dec 2",2022-12-02T13:24:19.000Z,"Thank you for joining our live stream to hear about the progress the team has made in the last year. In case you missed it, here’s the full recording:","1,110","2,377",20.8K
"Elon Musk
@elonmusk
·
Dec 1",2022-12-02T05:23:24.000Z,FAFO,20.7K,18.3K,199.6K
"Tesla
@Tesla
·
Dec 1",2022-12-02T01:33:26.000Z,"Tesla Semi driving 500 miles, fully loaded, on a single charge","5,750",10.9K,98.9K
"Elon Musk
@elonmusk
·
Dec 1",2022-12-02T01:02:54.000Z,Tesla Semi Truck launch in 5 mins!,"7,209","9,169",102.8K
"Elon Musk
@elonmusk
·
Nov 28",2022-11-28T18:18:40.000Z,Accurate,"7,221",26.7K,225.6K
"Elon Musk
@elonmusk
·
Nov 28",2022-11-28T18:07:57.000Z,Who else has Apple censored?,10.1K,23K,150K
"Elon Musk
@elonmusk
·
Nov 28",2022-11-28T18:04:47.000Z,"What’s going on here 
@tim_cook
?",17.7K,22.9K,285.4K
"Elon Musk
@elonmusk
·
Nov 28",2022-11-28T17:45:31.000Z,Apple has mostly stopped advertising on Twitter. Do they hate free speech in America?,96.9K,82.9K,639.2K
"Elon Musk
@elonmusk
·
Nov 28",2022-11-28T17:04:44.000Z,"@CommunityNotes
 FTW!","3,258","4,503",100.7K
"Elon Musk
@elonmusk
·
Nov 28",2022-11-28T16:51:44.000Z,"Greetings, I’m Musket, Elon Musket","6,550","7,089",153.9K
"Elon Musk
@elonmusk
·
Nov 28",2022-11-28T09:59:50.000Z,There is no excuse for my lack of coasters,12.1K,"8,284",241.4K
"Elon Musk
@elonmusk
·
Nov 28",2022-11-28T09:48:26.000Z,My bedside table,90.8K,87.4K,896.7K
"Elon Musk
@elonmusk
·
Nov 23",2022-11-23T21:50:48.000Z,Awesome new Twitter merch!,32.8K,54.5K,558.4K
"Elon Musk
@elonmusk
·
Nov 23",2022-11-23T19:51:48.000Z,"World Cup traffic hit almost 20,000 tweets per second today! Great work by Twitter team managing record usage.",10.9K,25K,357.5K
"Elon Musk
@elonmusk
·
Nov 23",2022-11-23T17:46:29.000Z,"Should Twitter offer a general amnesty to suspended accounts, provided that they have not broken the law or engaged in egregious spam?",61.8K,77.1K,266.8K
"Elon Musk
@elonmusk
·
Nov 23",2022-11-23T10:06:41.000Z,"More and more over time, as we hew closer to the truth, Twitter will earn the trust of the people",32.9K,35.5K,379.8K
"Elon Musk
@elonmusk
·
Nov 23",2022-11-23T10:00:42.000Z,I hope you get that which truly makes you happy,13.7K,13.4K,158K
"Elon Musk
@elonmusk
·
Nov 23",2022-11-23T08:50:48.000Z,What is best in life?,159.5K,29.7K,281.3K
"Elon Musk
@elonmusk
·
Nov 23",2022-11-23T08:10:07.000Z,https://justice.gov/sites/default/files/opa/press-releases/attachments/2015/03/04/doj_report_on_shooting_of_michael_brown_1.pdf…,"3,227","3,907",39K
"SpaceX
@SpaceX
·
Nov 22",2022-11-23T03:33:12.000Z,Deployment of Eutelsat 10B confirmed,"1,563","4,286",42.2K
"Elon Musk
@elonmusk
·
Nov 22",2022-11-23T03:06:02.000Z,Maybe we’ve gone to heaven/hell & don’t know it ,12.2K,"9,060",155.2K
"SpaceX
@SpaceX
·
Nov 22",2022-11-23T02:57:43.000Z,Liftoff!,"1,706","5,923",60.8K
"Elon Musk
@elonmusk
·
Nov 22",2022-11-23T03:00:12.000Z,Found in closet at Twitter HQ fr ,79.7K,108.4K,645.8K
"Tesla Charging
@TeslaCharging
·
Nov 22",2022-11-22T18:00:02.000Z,40k Superchargers around the world — and counting,"2,507","3,321",32.4K
"Elon Musk
@elonmusk
·
Nov 22",2022-11-23T00:07:54.000Z,Wasn’t Twitter supposed to die by now or something … ?,69.6K,82.7K,981.2K
"Elon Musk
@elonmusk
·
Nov 18",2022-11-19T00:53:47.000Z,"Vox Populi, Vox Dei",27.5K,27.4K,316.7K
"Elon Musk
@elonmusk
·
Nov 18",2022-11-19T00:47:45.000Z,Reinstate former President Trump,221.6K,307.5K,836.7K
"Elon Musk
@elonmusk
·
Nov 18",2022-11-18T22:07:39.000Z,First World Cup match on Sunday! Watch on Twitter for best coverage & real-time commentary.,32.4K,63.3K,614.8K
"Elon Musk
@elonmusk
·
Nov 18",2022-11-18T18:38:38.000Z,"Note, this applies just to the individual tweet, not the whole account","8,849","8,440",133.8K
"Elon Musk
@elonmusk
·
Nov 18",2022-11-18T18:33:48.000Z,"Kathie Griffin, Jorden Peterson & Babylon Bee have been reinstated.

Trump decision has not yet been made.",38.8K,27.6K,269.9K
"Elon Musk
@elonmusk
·
Nov 18",2022-11-18T18:31:47.000Z,"New Twitter policy is freedom of speech, but not freedom of reach.

Negative/hate tweets will be max deboosted & demonetized, so no ads or other revenue to Twitter. 

You won’t find the tweet unless you specifically seek it out, which is no different from rest of Internet.",47.4K,62.7K,414K
"Elon Musk
@elonmusk
·
Nov 18",2022-11-18T18:22:01.000Z,Freedom Fridays …,23.6K,28K,382.7K
"Elon Musk
@elonmusk
·
Nov 18",2022-11-18T17:38:07.000Z,What should Twitter do next?,317.2K,67.7K,514.3K
"Elon Musk
@elonmusk
·
Nov 17",2022-11-18T04:20:14.000Z,,39.8K,56.6K,539.9K
"Elon Musk
@elonmusk
·
Nov 17",2022-11-18T04:12:21.000Z,Let that sink in …,11.9K,12.3K,230.1K
"Elon Musk
@elonmusk
·
Nov 17",2022-11-18T04:07:05.000Z,And … we just hit another all-time high in Twitter usage lol,47.7K,74.3K,719.8K
"Elon Musk
@elonmusk
·
Nov 17",2022-11-18T01:25:55.000Z,"How do you make a small fortune in social media?

Start out with a large one.",41.8K,38.2K,458.1K
"Elon Musk
@elonmusk
·
Nov 17",2022-11-17T15:26:13.000Z,Twitter is like open-sourcing the news,37K,37.1K,401.9K
"Elon Musk
@elonmusk
·
Nov 17",2022-11-17T15:15:23.000Z,"SBF is ineffective altruism, but they thought he was saying he was in effective altruism. Easy misunderstanding.","2,775","3,892",60.3K
"SpaceX
@SpaceX
·
Nov 11",2022-11-11T17:55:18.000Z,Happy Veterans Day to all those who have served!,"2,923","8,305",100.7K
"Tesla Charging
@TeslaCharging
·
Nov 11",2022-11-11T18:10:17.000Z,"In pursuit of our mission, today we are opening up our EV connector design →

https://tesla.com/blog/opening-north-american-charging-standard…","1,678","3,995",28.7K
"Elon Musk
@elonmusk
·
Nov 11",2022-11-11T18:05:52.000Z,"Mainstream media will still thrive, but increased competition from citizens will cause them to be more accurate, as their oligopoly on information is disrupted",10.4K,23K,177.2K
"Elon Musk
@elonmusk
·
Nov 11",2022-11-11T17:52:04.000Z,This is from the video arcade & bar area,"2,993","2,338",48.2K
"Elon Musk
@elonmusk
·
Nov 11",2022-11-11T17:30:16.000Z,"As Twitter pursues the goal of elevating citizen journalism, media elite will try everything to stop that from happening",38.7K,60.1K,382.6K
"Elon Musk
@elonmusk
·
Nov 11
·",2022-11-11T16:14:45.000Z,Twitter HQ is great (this is a real pic),10.6K,15.9K,183.1K
"Elon Musk
@elonmusk
·
Nov 11",2022-11-11T08:34:25.000Z,Hit all-time high of active users today,"9,839","9,867",164.5K
"Elon Musk
@elonmusk
·
Nov 11",2022-11-11T07:42:42.000Z,Some epically funny tweets ,"4,972","4,157",77.9K
"Elon Musk
@elonmusk
·
Nov 11",2022-11-11T07:30:42.000Z,Quite the day!,14.6K,11.7K,216.6K
"Elon Musk
@elonmusk
·
Nov 10",2022-11-11T01:56:34.000Z,"To be more precise, accounts doing parody impersonations. Basically, tricking people is not ok.",17.7K,16.6K,187.3K
"Elon Musk
@elonmusk
·
Nov 10",2022-11-11T01:51:49.000Z,"Going forward, accounts engaged in parody must include “parody” in their name, not just in bio",43.7K,49.9K,357.2K
"Elon Musk
@elonmusk
·
Nov 10",2022-11-10T19:15:51.000Z,Usage of Twitter continues to rise. One thing is for sure: it isn’t boring!,34.3K,34.4K,442K
"Elon Musk
@elonmusk
·
Nov 10",2022-11-10T17:17:22.000Z,I love when people complain about Twitter … on Twitter ,82.7K,137.7K,1.3M
"Elon Musk
@elonmusk
·
Nov 10",2022-11-10T07:47:53.000Z,Are you seeing far fewer bots/scams/spam?,33.8K,13K,82.7K
"Tesla
@Tesla
·
Nov 5",2022-11-05T21:40:12.000Z,Design & manufacture actuators for our Optimus robot!,"1,983","2,616",28K
"Elon Musk
@elonmusk
·
Nov 5",2022-11-05T21:42:25.000Z,Followed by creator monetization for all forms of content,"8,897",17K,217.7K
"Elon Musk
@elonmusk
·
Nov 5",2022-11-05T21:39:56.000Z,"Twitter will soon add ability to attach long-form text to tweets, ending absurdity of notepad screenshots",34.9K,66.1K,603.6K
"Elon Musk
@elonmusk
·
Nov 5",2022-11-05T20:30:08.000Z,This rocks,12.8K,15K,231K
"Elon Musk
@elonmusk
·
Nov 4",2022-11-05T04:30:55.000Z,"Trash me all day, but it’ll cost $8",110.3K,124.4K,1.3M
"Elon Musk
@elonmusk
·
Nov 4",2022-11-05T03:45:01.000Z, Power to the People ,52.8K,78.8K,713.8K
"The Boring Company
@boringcompany
·
Nov 4",2022-11-05T00:11:36.000Z,Full-scale Hyperloop Testing has begun,"3,169","5,665",63.8K
"Elon Musk
@elonmusk
·
Nov 4",2022-11-04T23:14:54.000Z,"Regarding Twitter’s reduction in force, unfortunately there is no choice when the company is losing over $4M/day.

Everyone exited was offered 3 months of severance, which is 50% more than legally required.",39K,53.8K,516.3K
"Elon Musk
@elonmusk
·
Nov 4",2022-11-04T22:54:50.000Z,"Again, to be crystal clear, Twitter’s strong commitment to content moderation remains absolutely unchanged.

In fact, we have actually seen hateful speech at times this week decline *below* our prior norms, contrary to what you may read in the press.",30.8K,30.3K,289.1K
"Elon Musk
@elonmusk
·
Nov 4",2022-11-04T22:38:28.000Z,Excellent summary of Twitter’s Trust & Safety from the head of the team,"6,399","5,165",53.4K
"SpaceX
@SpaceX
·
Nov 4",2022-11-04T18:57:36.000Z,Life at Starbase http://youtube.com/watch?v=KQBVOQ79G2s…,"2,604","8,645",58.4K
"Elon Musk
@elonmusk
·
Nov 4",2022-11-04T14:28:20.000Z,"Twitter has had a massive drop in revenue, due to activist groups pressuring advertisers, even though nothing has changed with content moderation and we did everything we could to appease the activists.

Extremely messed up! They’re trying to destroy free speech in America.",142.1K,130.5K,698.1K
"Elon Musk
@elonmusk
·
Nov 4",2022-11-04T05:10:27.000Z,Tiny talk is talk so small it feels like it’s coming from your own mind,14.2K,11.7K,163K
"Elon Musk
@elonmusk
·
Nov 3",2022-11-04T04:45:15.000Z,Why is small talk even legal!?,39.2K,47.2K,476.7K
"SpaceX
@SpaceX
·
Nov 1",2022-11-01T16:38:48.000Z,"Falcon Heavy launches USSF-44 to orbit, and its two side boosters return to Earth – SpaceX's 50th mission of 2022","1,489","5,259",53.9K
"Elon Musk
@elonmusk
·
Nov 1",2022-11-01T13:54:13.000Z,Sonic BOOMS!!,"8,505",12.3K,144.7K
"Elon Musk
@elonmusk
·
Nov 1",2022-11-01T13:15:20.000Z,Falcon Heavy launch in ~30 mins,"3,440","3,828",53.6K
"Elon Musk
@elonmusk
·
Oct 31",2022-11-01T04:17:24.000Z,,35K,80.3K,1M
"Elon Musk
@elonmusk
·
Oct 31",2022-11-01T04:15:02.000Z,Halloween with my Mom,38.4K,55.3K,1.1M
"Tesla
@Tesla
·
Oct 31",2022-10-31T20:45:08.000Z,"Happy Halloween  

 transformerskids on Instagram","2,707","9,959",135.4K
"Elon Musk
@elonmusk
·
Oct 25",2022-10-25T23:26:39.000Z,Works on any moving land object,"4,020","4,688",56K
"Elon Musk
@elonmusk
·
Oct 24",2022-10-25T04:33:08.000Z,What lesson took you the longest to unlearn?,46.7K,18.1K,160.7K
"Elon Musk
@elonmusk
·
Oct 24",2022-10-25T01:25:34.000Z,διαλεκτική,12K,"9,692",103.9K
"SpaceX
@SpaceX
·
Oct 24",2022-10-24T17:57:55.000Z,Starlink is now available in Jamaica → http://starlink.com/map,"2,271","2,623",27.9K
"SpaceX
@SpaceX
·
Oct 23",2022-10-23T22:38:59.000Z,Falcon Heavy in the hangar at Launch Complex 39A,"2,661","5,623",54.9K
"Elon Musk
@elonmusk
·
Oct 23",2022-10-23T13:29:48.000Z,"Maybe it was a social media algorithm, not even people","4,378","4,831",62K
"Elon Musk
@elonmusk
·
Oct 23",2022-10-23T13:26:21.000Z,Think about who might have decided “The Current Thing” before accepting it,"8,210",13.9K,121.1K
"Elon Musk
@elonmusk
·
Oct 23",2022-10-23T13:21:51.000Z,"Who decides “The Current Thing?”
Real question. I don’t know.",19.1K,11.3K,122.6K
"Elon Musk
@elonmusk
·
Oct 23",2022-10-23T12:19:22.000Z,Neuralink show & tell now on Nov 30,"4,312","5,773",66.5K
"Elon Musk
@elonmusk
·
Oct 22",2022-10-23T00:29:28.000Z,"i know
|nothing|
is forever",19.7K,25.1K,215.6K
"Historic Vids
@historyinmemes
·
Oct 21",2022-10-22T02:44:27.000Z,How the borders have changed over time,"3,370",28K,105.9K
"SpaceX
@SpaceX
·
Oct 21",2022-10-21T14:32:14.000Z,Launch and catch tower stacking Starship at Starbase,"2,543","5,962",44.7K
"Tesla
@Tesla
·
Oct 20",2022-10-20T19:03:36.000Z,Vote for new Supercharger locations →,"2,214","2,631",20.3K
"Tesla
@Tesla
·
Oct 21",2022-10-21T06:16:03.000Z,"Our most advanced paint system yet, allowing up to 13 layers for depth, dimension & a hand-painted look","1,145","1,612",18.4K
"Elon Musk
@elonmusk
·
Oct 15",2022-10-16T03:41:07.000Z,"Pitching my idea once again for a crossover of Das Boot & Boss Baby.

“Das Baby” – Hijinks on the high seas!","2,987","2,325",32.4K
"Elon Musk
@elonmusk
·
Oct 15",2022-10-16T03:24:24.000Z,The comments in this thread are a conspiracy theorist’s wet dream,"3,470","2,627",63.3K
"Elon Musk
@elonmusk
·
Oct 15",2022-10-15T18:06:20.000Z,"The hell with it … even though Starlink is still losing money & other companies are getting billions of taxpayer $, we’ll just keep funding Ukraine govt for free",62.1K,48.8K,508.5K
"SpaceX
@SpaceX
·
Oct 15",2022-10-15T05:59:33.000Z,Deployment of Eutelsat HOTBIRD 13F confirmed,"1,465","2,514",23.4K
"SpaceX
@SpaceX
·
Oct 15",2022-10-15T05:31:35.000Z,Falcon 9’s first stage has landed on the Just Read the Instructions droneship,935,"2,196",21.3K
"SpaceX
@SpaceX
·
Oct 15",2022-10-15T05:22:48.000Z,Liftoff!,936,"2,417",23.8K
"Elon Musk
@elonmusk
·
Oct 14",2022-10-14T20:56:54.000Z,Yay!! https://twitter.com/SpaceX/status/1581026144702193664…,"5,356","3,016",25.5K
"SpaceX
@SpaceX
·
Oct 14",2022-10-14T20:52:56.000Z,Main parachutes have deployed,"1,214","2,571",30.2K
"SpaceX
@SpaceX
·
Oct 14",2022-10-14T16:06:12.000Z,Dragon separation confirmed!,"1,150","2,202",24.3K
"Elon Musk
@elonmusk
·
Oct 12",2022-10-13T02:50:21.000Z,"20,000!!",16.7K,10.9K,192.5K
"Elon Musk
@elonmusk
·
Oct 12",2022-10-13T00:10:36.000Z,This is real,"6,807","4,003",95.3K
"Elon Musk
@elonmusk
·
Oct 6",2022-10-06T23:50:57.000Z,"Excited to announce start of production of Tesla Semi Truck with deliveries to 
@Pepsi
 on Dec 1st!",15K,34.5K,361.1K
"International Space Station
@Space_Station
·
Oct 6",2022-10-06T23:15:33.000Z,"The station now has 11 crew members with the arrival of the four 
@SpaceX
 #Crew5 members today. They'll work in space conducting 
@ISS_Research
 for the next several months. More... https://go.nasa.gov/3SJvoC6","1,675","4,206",30.9K
"Elon Musk
@elonmusk
·
Oct 6",2022-10-06T19:54:23.000Z,Video,"1,702","2,273",28.4K
"Elon Musk
@elonmusk
·
Oct 6",2022-10-06T16:12:27.000Z,Starlink view of 2nd stage deorbit burn,"5,646","5,256",77.3K
"Elon Musk
@elonmusk
·
Oct 5",2022-10-06T04:37:25.000Z,War is the ultimate Supreme Court,29.1K,23.3K,215.6K
"Elon Musk
@elonmusk
·
Oct 5",2022-10-06T01:21:12.000Z,"Another batch of Starlinks in orbit, 7 hours after the astronaut launch","3,275","3,285",41.4K
"SpaceX
@SpaceX
·
Oct 5",2022-10-05T12:30:43.000Z,"Watch Falcon 9 launch Dragon and Crew-5 to the 
@space_station
 → http://spacex.com/launches/crew-5/…","1,896","3,874",19.9K
"SpaceX
@SpaceX
·
Oct 5",2022-10-05T12:51:34.000Z,Meet Crew-5,"1,937","3,591",44K
"Elon Musk
@elonmusk
·
Oct 4",2022-10-04T22:39:41.000Z,"Buying Twitter is an accelerant to creating X, the everything app",37.8K,47.6K,420.4K
"Tesla
@Tesla
·
Oct 3",2022-10-03T23:08:31.000Z,"The brain of your Tesla: Neural networks with 1 billion parameters, completing 144 trillion operations per second","3,850","4,549",54.9K
"Elon Musk
@elonmusk
·
Oct 3",2022-10-03T17:55:05.000Z,Let’s try this then: the will of the people who live in the Donbas & Crimea should decide whether they’re part of Russia or Ukraine,90.9K,26.7K,97.5K
"Elon Musk
@elonmusk
·
Sep 28",2022-09-28T23:47:46.000Z,Rated for 280+ kph (174+ mph) winds,"1,346","1,102",14.5K
"Elon Musk
@elonmusk
·
Sep 28",2022-09-28T23:43:58.000Z,Starlink Maritime system enables high speed Internet connectivity even in heavy seas & hurricane winds,"4,318","4,865",47.5K
"Elon Musk
@elonmusk
·
Sep 28",2022-09-28T23:38:46.000Z,Last coal shipment arrived in Hawaii at same time as Tesla Megapack batteries that will enable 24/7 sustainable energy,"3,046","4,197",43.8K
"Elon Musk
@elonmusk
·
Sep 27",2022-09-28T03:05:06.000Z,I guess this joke is a slow burn … ,"2,926","1,451",27K
"Elon Musk
@elonmusk
·
Sep 27",2022-09-27T23:20:31.000Z,Make “hair on fire” not just a metaphor,"5,059","4,263",53.3K
"Elon Musk
@elonmusk
·
Sep 27",2022-09-27T23:03:16.000Z,Stand out in a crowd! Get noticed as you walk through the airport!,"1,411","1,004",17.9K
"Elon Musk
@elonmusk
·
Sep 27",2022-09-27T23:01:19.000Z,"Coming soon from 
@BoringCompany
, the same people that sold you a Flamethrower","1,073",971,18.9K
"Elon Musk
@elonmusk
·
Sep 27",2022-09-27T22:57:09.000Z,“Burnt Hair” – Scent for Men by Singed,"3,164","2,628",44.2K
"Elon Musk
@elonmusk
·
Sep 27",2022-09-27T16:50:00.000Z,"My son, Saxon, was amazed that so many paper newspapers are still produced every day. 

He said they probably just search the Internet & print it out. Yup, with rare exception, that is *actually* what they do haha.","6,419","8,125",112.2K
"Elon Musk
@elonmusk
·
Sep 13",2022-09-13T18:05:36.000Z,My tweets are being suppressed!,11.9K,11K,130.8K
"Elon Musk
@elonmusk
·
Sep 13",2022-09-13T17:55:46.000Z,"This says it all:
“None of the members of the Stripe chat who spoke with me said that they accepted payment or agreed to speak to the firms about Zatko, and all said they wished to defend his credibility.”","1,000",886,11.4K
"Elon Musk
@elonmusk
·
Sep 13",2022-09-13T17:45:44.000Z,Anyone know who the secret clients are? Let’s out them on Twitter rn haha.,"1,551","2,117",19.3K
"Elon Musk
@elonmusk
·
Sep 13",2022-09-13T16:51:22.000Z,Rome show is underappreciated,"2,154","1,482",21K
"Elon Musk
@elonmusk
·
Sep 13",2022-09-13T14:48:08.000Z,,"4,192","4,456",49.7K
"Elon Musk
@elonmusk
·
Sep 12",2022-09-13T00:16:11.000Z,Take a moment to …,"9,214",30.8K,371.3K
"Elon Musk
@elonmusk
·
Sep 12",2022-09-12T22:19:11.000Z,The residual value of gasoline cars bought today will be much lower than people think,"5,677","2,940",37.7K
"Elon Musk
@elonmusk
·
Sep 12",2022-09-12T20:07:08.000Z,Won’t be long before we view gasoline cars the same way we view steam engines today,25.6K,17.8K,179.3K
"Elon Musk
@elonmusk
·
Sep 11",2022-09-12T04:19:57.000Z,Looks good to roll out to all Tesla owners with 10.12.2 (~100k cars)!,"1,600","1,223",20.8K
"Elon Musk
@elonmusk
·
Sep 11",2022-09-11T21:31:34.000Z,"FSD Beta 10.69.2 rolling out now. Please note that top priority is safety, so expect it to be overly cautious, especially around pedestrians.","3,524","3,497",46.6K
"Elon Musk
@elonmusk
·
Sep 10",2022-09-11T03:00:14.000Z,Falcon arching to orbit,"6,092",12.6K,180.1K
"Elon Musk
@elonmusk
·
Sep 10",2022-09-11T02:29:13.000Z,No obvious limit to rocket reflight so far,"2,677","3,670",46.3K
"Elon Musk
@elonmusk
·
Sep 10",2022-09-10T17:00:13.000Z,Astronomy too,"2,385","1,811",39.2K
"Elon Musk
@elonmusk
·
Sep 9",2022-09-09T23:52:33.000Z,Take Materials Science 101. You won’t regret it.,"7,314",11.6K,140.6K
"Elon Musk
@elonmusk
·
Sep 9",2022-09-09T23:40:48.000Z,A major Fed rate hike risks deflation,"6,625","7,115",83.6K
